scenario,replication,event_rate,compliance_index,median_time_to_first_service,median_time_to_stage2
A-S00,1,0.3740405464469052,0.7509551182245494,55,150
A-S00,2,0.3593358593229371,0.7926277701537408,83,128
A-S00,3,0.3287602961657227,0.7693126578780171,33,91
A-S00,4,0.2444536337294467,0.8127100720909545,69,176
A-S00,5,0.31432355546135765,0.7972392953551599,43,145
A-S00,6,0.4192448174958207,0.7812383306173458,117,337
A-S00,7,0.35265022872086893,0.7961601297194979,109,116
A-S00,8,0.34493225134580663,0.742288180420238,49,271
A-S00,9,0.37746062088229426,0.7561892588502026,68,96
A-S00,10,0.42873090598482555,0.8223090924507485,121,304
A-S00,11,0.3150713446720189,0.7947888496104163,37,232
A-S00,12,0.3696444747659548,0.7484159114149014,46,90
A-S00,13,0.3212571380143704,0.7739853227592036,23,453
A-S00,14,0.34100991608273307,0.7724127357712797,15,190
A-S00,15,0.29245582660939107,0.7048099160211337,52,124
A-S00,16,0.3502473917211037,0.8127105135527474,31,280
A-S00,17,0.37383372839699924,0.7263911360982847,51,72
A-S00,18,0.282843251671386,0.7785746190901766,77,157
A-S00,19,0.3581703412909846,0.8174299915550256,53,110
A-S00,20,0.328712058885028,0.8042138179818088,13,68
A-S00,21,0.328032265685397,0.7510222729704282,62,277
A-S00,22,0.32787589061903094,0.7740807680845866,25,174
A-S00,23,0.303969872059643,0.7405034697468885,55,80
A-S00,24,0.2863028975432913,0.7477505275583408,42,77
A-S00,25,0.3410009036600107,0.7726719377466864,88,409
A-S00,26,0.30305112627643216,0.8251442688112806,126,178
A-S00,27,0.3918243559083115,0.7320105802333319,65,115
A-S00,28,0.30788525398509947,0.8120147809959701,62,177
A-S00,29,0.3207462832717256,0.7580790327665735,58,219
A-S00,30,0.34740520743355807,0.7601676719852287,57,206
A-S00,31,0.2685525207832427,0.7977832290061284,62,165
A-S00,32,0.2864299662166613,0.7981829560772837,89,267
A-S00,33,0.3671702803996185,0.7804360993525493,47,187
A-S00,34,0.39623992132073055,0.792608754265559,68,268
A-S00,35,0.31853147525123193,0.7636656327432406,51,182
A-S00,36,0.34347078894502747,0.8188945677443685,65,189
A-S00,37,0.3810868241725972,0.793481520143018,85,253
A-S00,38,0.354699090242404,0.7870365218657602,54,208
A-S00,39,0.35311661316572635,0.7835067159791788,13,282
A-S00,40,0.27849176336444553,0.7967204955697068,35,180
A-S00,41,0.3974178384255102,0.7854991213709585,69,303
A-S00,42,0.3805010596811261,0.7895062099837217,34,284
A-S00,43,0.35332490973141334,0.7924979094516283,33,326
A-S00,44,0.3293690279807166,0.7364689202543802,27,282
A-S00,45,0.3396376006314772,0.7285190970923107,43,155
A-S00,46,0.3237016451387249,0.776880343140648,106,93
A-S00,47,0.34156565708522907,0.7657008214455232,42,230
A-S00,48,0.3781741715770436,0.8064480026245899,84,392
A-S00,49,0.35321250703435764,0.7079363830481147,37,170
A-S00,50,0.26472294341699426,0.7815896763952667,67,150
