scenario,replication,time_step,time_unit,active_entities,capacity_utilisation
A-S08,1,1,step,71,0.3674874862895011
A-S08,1,2,step,70,0.43561414801934367
A-S08,1,3,step,68,0.5577965056044911
A-S08,1,4,step,65,0.563429388943659
A-S08,1,5,step,65,0.6743935821799343
A-S08,1,6,step,65,0.40048962739766447
A-S08,1,7,step,66,0.6341020224858667
A-S08,1,8,step,62,0.5908250250831403
A-S08,1,9,step,58,0.3343775248128108
A-S08,1,10,step,61,0.6854119550755875
A-S08,1,11,step,59,0.4916340564535654
A-S08,1,12,step,55,0.7117655332892969
A-S08,1,13,step,54,0.5925908703157196
A-S08,1,14,step,52,0.5056703720452371
A-S08,1,15,step,50,0.6402821277433556
A-S08,1,16,step,47,0.6134313460447477
A-S08,1,17,step,43,0.5308997741088503
A-S08,1,18,step,48,0.4990758962987254
A-S08,1,19,step,41,0.6595528787397171
A-S08,1,20,step,39,0.6591562184080153
A-S08,1,21,step,40,0.6290799927708698
A-S08,1,22,step,37,0.6303230747438914
A-S08,1,23,step,33,0.8213515591821847
A-S08,1,24,step,36,0.6434055112866418
A-S08,1,25,step,31,0.7096155911335827
A-S08,1,26,step,32,0.5649559384500982
A-S08,1,27,step,26,0.6905284152448494
A-S08,1,28,step,26,0.5048611946799209
A-S08,1,29,step,26,0.5760530312129866
A-S08,1,30,step,22,0.6277981356808224
A-S08,1,31,step,21,0.783205428165001
A-S08,1,32,step,16,0.6002569864671826
A-S08,1,33,step,14,0.6499687801355781
A-S08,1,34,step,18,0.7300083929342669
A-S08,1,35,step,11,0.5641375634725652
A-S08,1,36,step,14,0.6178180583648831
A-S08,1,37,step,11,0.722550953262317
A-S08,1,38,step,13,0.7656623865627649
A-S08,1,39,step,13,0.7332319244800395
A-S08,1,40,step,8,0.5995156084613439
A-S08,1,41,step,8,0.8128426789972958
A-S08,1,42,step,5,0.6705999414529975
A-S08,1,43,step,12,0.837509859088012
A-S08,1,44,step,11,0.8202153330332667
A-S08,1,45,step,3,0.8940538206662331
A-S08,1,46,step,4,0.537151158991819
A-S08,1,47,step,6,0.8302707490030385
A-S08,1,48,step,2,0.7509472539537916
A-S08,1,49,step,2,0.9058648593519854
A-S08,1,50,step,5,0.8485392104962024
A-S08,1,51,step,5,0.8595619778813737
A-S08,1,52,step,4,0.6790487786470558
A-S08,1,53,step,3,0.8682199494687614
A-S08,1,54,step,2,0.7674663545209917
A-S08,1,55,step,2,0.7206288403615987
A-S08,1,56,step,2,0.7141130560527278
A-S08,1,57,step,1,0.6582346354458355
A-S08,1,58,step,0,0.852648936084535
A-S08,1,59,step,3,0.8399567228731798
A-S08,1,60,step,0,0.9486016790179446
A-S08,2,1,step,68,0.4198512323863105
A-S08,2,2,step,71,0.5274243364853131
A-S08,2,3,step,69,0.40655023155425674
A-S08,2,4,step,65,0.3982798322123806
A-S08,2,5,step,68,0.46193058550627153
A-S08,2,6,step,62,0.4040738155710032
A-S08,2,7,step,62,0.6679492057706082
A-S08,2,8,step,63,0.4175277110091662
A-S08,2,9,step,61,0.42172912112718275
A-S08,2,10,step,60,0.4797499671222919
A-S08,2,11,step,56,0.3874639690924853
A-S08,2,12,step,54,0.5421995562633223
A-S08,2,13,step,57,0.6504390954141409
A-S08,2,14,step,49,0.5783796220322722
A-S08,2,15,step,51,0.7732088925421018
A-S08,2,16,step,47,0.615738680014457
A-S08,2,17,step,45,0.6905736189086992
A-S08,2,18,step,42,0.6402566048926004
A-S08,2,19,step,40,0.4701341157681068
A-S08,2,20,step,40,0.6129479457788319
A-S08,2,21,step,37,0.7865075854307141
A-S08,2,22,step,34,0.49471374712672866
A-S08,2,23,step,33,0.5465968637224357
A-S08,2,24,step,30,0.6202816842454841
A-S08,2,25,step,32,0.6884648871381216
A-S08,2,26,step,30,0.5418152565020494
A-S08,2,27,step,24,0.698980983565588
A-S08,2,28,step,20,0.6774815278926877
A-S08,2,29,step,22,0.6136841795402082
A-S08,2,30,step,23,0.5669612465362683
A-S08,2,31,step,20,0.7561671490879305
A-S08,2,32,step,21,0.6659467357907755
A-S08,2,33,step,14,0.8774352146502713
A-S08,2,34,step,16,0.7186917894704739
A-S08,2,35,step,13,0.674994375559756
A-S08,2,36,step,10,0.789194781276666
A-S08,2,37,step,10,0.7520868917168904
A-S08,2,38,step,9,0.7076580087598627
A-S08,2,39,step,11,0.6252338736906219
A-S08,2,40,step,10,0.5765115945108035
A-S08,2,41,step,11,0.6280021474846691
A-S08,2,42,step,8,0.7295749923744537
A-S08,2,43,step,10,0.6900565394621461
A-S08,2,44,step,6,0.699282991918189
A-S08,2,45,step,6,0.7872383268611666
A-S08,2,46,step,6,0.6913433816007514
A-S08,2,47,step,5,0.7569802769089936
A-S08,2,48,step,7,0.7635005354843806
A-S08,2,49,step,2,0.9216742723377904
A-S08,2,50,step,5,0.868819556102599
A-S08,2,51,step,1,0.8201307473839915
A-S08,2,52,step,4,0.7319695780226367
A-S08,2,53,step,1,0.8761889107001893
A-S08,2,54,step,1,0.7001718516615252
A-S08,2,55,step,3,0.7907705568699356
A-S08,2,56,step,3,0.8662328760490101
A-S08,2,57,step,3,0.8184276237303877
A-S08,2,58,step,1,0.8905050927301768
A-S08,2,59,step,0,0.7069990535590034
A-S08,2,60,step,4,0.7811430582980741
A-S08,3,1,step,73,0.31320541117491985
A-S08,3,2,step,66,0.24193796443664117
A-S08,3,3,step,69,0.6923952479461354
A-S08,3,4,step,63,0.5023556834556543
A-S08,3,5,step,66,0.5968960767711162
A-S08,3,6,step,64,0.458325684382871
A-S08,3,7,step,67,0.5587003556164107
A-S08,3,8,step,61,0.454994065189612
A-S08,3,9,step,61,0.39550578429130456
A-S08,3,10,step,58,0.7562072000053348
A-S08,3,11,step,52,0.48010360976003186
A-S08,3,12,step,52,0.4747259736352126
A-S08,3,13,step,53,0.5428986332560463
A-S08,3,14,step,52,0.5256053309608163
A-S08,3,15,step,50,0.4051199378539383
A-S08,3,16,step,51,0.7098030722604386
A-S08,3,17,step,45,0.6096418525087428
A-S08,3,18,step,46,0.6171421547103113
A-S08,3,19,step,42,0.5440308072366953
A-S08,3,20,step,42,0.5308457660902428
A-S08,3,21,step,40,0.686178182769196
A-S08,3,22,step,38,0.6599470571429279
A-S08,3,23,step,34,0.65852241282334
A-S08,3,24,step,31,0.48829187559624443
A-S08,3,25,step,31,0.6475937649764023
A-S08,3,26,step,30,0.4094493383215826
A-S08,3,27,step,26,0.8153829312749219
A-S08,3,28,step,24,0.720596877826454
A-S08,3,29,step,24,0.590175448833874
