scenario,replication,entity_id,group,severity,severity_category,status,event,event_time,time_to_first_service,received_service,time_to_stage2,reached_stage2,x,y
A-S01,1,1,C,0.408,P3,TERMINATED,1,136,5,1,86,1,46.01,48.58
A-S01,1,2,A,0.735,P2,ACTIVE,0,68,60,0,121,1,30.3,47.36
A-S01,1,3,A,0.862,P1,ACTIVE,0,28,50,0,119,1,1.8,25.95
A-S01,1,4,A,0.403,P3,TERMINATED,1,553,4,1,320,0,5.86,6.22
A-S01,1,5,A,0.665,P2,ACTIVE,0,171,118,1,37,1,48.37,0.57
A-S01,1,6,C,0.641,P2,ACTIVE,0,686,49,1,256,1,18.61,34.38
A-S01,1,7,B,0.937,P1,ACTIVE,0,18,7,1,346,0,10.26,14.49
A-S01,1,8,B,0.828,P1,TERMINATED,1,471,11,1,258,0,47.05,48.61
A-S01,1,9,A,0.829,P1,ACTIVE,0,55,33,0,245,1,46.86,46.21
A-S01,1,10,B,0.92,P1,ACTIVE,0,231,55,1,213,1,43.46,0.45
A-S01,1,11,A,0.65,P2,TERMINATED,1,184,154,1,120,1,31.76,6.43
A-S01,1,12,C,0.181,P4,TERMINATED,1,54,39,1,150,0,12.72,27.59
A-S01,1,13,A,0.494,P3,TERMINATED,1,48,95,1,380,1,43.87,6.89
A-S01,1,14,A,0.324,P3,ACTIVE,0,232,27,1,240,1,0.44,30.76
A-S01,1,15,A,0.86,P1,ACTIVE,0,461,3,1,467,1,12.42,48.79
A-S01,1,16,C,0.876,P1,TERMINATED,1,59,24,1,221,1,44.9,37.72
A-S01,1,17,B,0.559,P2,ACTIVE,0,17,68,1,378,0,45.08,6.41
A-S01,1,18,A,0.919,P1,TERMINATED,1,970,91,1,17,0,19.74,31.44
A-S01,1,19,B,0.286,P3,ACTIVE,0,93,104,1,99,1,23.03,42.41
A-S01,1,20,C,0.219,P4,TERMINATED,1,128,113,1,99,1,13.89,8.36
A-S01,1,21,A,0.458,P3,ACTIVE,0,40,102,0,62,1,34.66,16.41
A-S01,1,22,A,0.277,P3,ACTIVE,0,572,40,0,190,1,28.65,24.24
A-S01,1,23,B,0.31,P3,ACTIVE,0,193,161,1,244,0,6.52,15.98
A-S01,1,24,B,0.393,P3,TERMINATED,1,898,169,1,93,1,47.8,45.51
A-S01,1,25,C,0.789,P1,ACTIVE,0,510,27,1,99,1,18.74,24.4
A-S01,1,26,A,0.789,P1,ACTIVE,0,70,12,0,34,1,28.79,4.17
A-S01,1,27,A,0.5,P2,ACTIVE,0,299,3,1,314,1,36.29,9.16
A-S01,1,28,B,0.245,P4,ACTIVE,0,265,70,1,146,1,48.68,31.73
A-S01,1,29,A,0.667,P2,ACTIVE,0,361,1,1,386,1,24.13,8.36
A-S01,1,30,B,0.729,P2,ACTIVE,0,429,56,1,53,0,34.08,44.56
A-S01,1,31,C,0.388,P3,ACTIVE,0,985,35,1,175,0,29.58,12.03
A-S01,1,32,B,0.471,P3,ACTIVE,0,151,51,1,114,1,27.88,48.89
A-S01,1,33,A,0.332,P3,ACTIVE,0,32,4,0,132,1,47.54,1.15
A-S01,1,34,A,0.732,P2,ACTIVE,0,220,17,1,358,1,42.6,17.28
A-S01,1,35,A,0.612,P2,TERMINATED,1,1072,81,1,41,0,47.76,40.01
A-S01,1,36,B,0.113,P4,ACTIVE,0,118,188,1,61,1,3.08,15.28
A-S01,1,37,A,0.11,P4,TERMINATED,1,576,0,1,219,1,35.39,33.79
A-S01,1,38,A,0.375,P3,ACTIVE,0,231,92,1,193,1,13.37,1.9
A-S01,1,39,B,0.231,P4,TERMINATED,1,302,201,1,179,1,12.74,23.67
A-S01,1,40,C,0.351,P3,TERMINATED,1,69,52,1,13,0,36.08,37.39
A-S01,1,41,C,0.298,P3,ACTIVE,0,236,72,1,128,0,0.46,27.92
A-S01,1,42,A,0.6,P2,TERMINATED,1,172,38,1,1,0,27.43,27.24
A-S01,1,43,B,0.339,P3,ACTIVE,0,37,11,1,116,1,10.88,46.26
A-S01,1,44,A,0.423,P3,TERMINATED,1,374,12,1,18,0,38.8,42.13
A-S01,1,45,A,0.693,P2,ACTIVE,0,643,20,1,292,1,48.87,34.98
A-S01,1,46,A,0.371,P3,ACTIVE,0,35,52,1,152,1,3.94,45.03
A-S01,1,47,C,0.793,P1,TERMINATED,1,187,35,1,31,1,14.54,10.63
A-S01,1,48,C,0.526,P2,TERMINATED,1,985,147,1,645,1,41.37,0.04
A-S01,1,49,B,0.906,P1,TERMINATED,1,455,35,1,433,1,44.57,9.14
A-S01,1,50,C,0.465,P3,ACTIVE,0,66,85,0,207,1,19.14,9.02
A-S01,1,51,A,0.195,P4,ACTIVE,0,80,34,1,73,1,21.34,36.02
A-S01,1,52,A,0.441,P3,TERMINATED,1,221,39,1,113,0,32.76,19.17
A-S01,1,53,B,0.825,P1,TERMINATED,1,307,93,1,329,1,9.04,11.2
A-S01,1,54,B,0.296,P3,ACTIVE,0,463,131,1,41,1,47.36,20.46
A-S01,1,55,B,0.627,P2,TERMINATED,1,228,96,0,32,1,11.97,13.01
A-S01,1,56,A,0.722,P2,ACTIVE,0,93,76,1,96,1,38.11,7.34
A-S01,1,57,A,0.929,P1,TERMINATED,1,181,85,0,161,0,33.77,19.47
A-S01,1,58,A,0.753,P1,TERMINATED,1,207,39,1,60,0,2.65,47.39
A-S01,1,59,A,0.91,P1,TERMINATED,1,297,58,0,7,0,43.27,31.75
A-S01,1,60,A,0.915,P1,TERMINATED,1,130,101,1,167,1,29.53,17.77
A-S01,1,61,C,0.278,P3,ACTIVE,0,84,51,1,50,1,40.33,17.15
A-S01,1,62,B,0.439,P3,ACTIVE,0,337,15,0,116,1,17.77,48.27
A-S01,1,63,B,0.359,P3,ACTIVE,0,390,25,1,449,1,27.2,43.06
A-S01,1,64,A,0.453,P3,TERMINATED,1,1098,67,0,246,1,29.93,48.04
A-S01,1,65,A,0.106,P4,ACTIVE,0,73,131,1,64,0,22.25,45.9
A-S01,1,66,A,0.52,P2,ACTIVE,0,344,12,1,277,1,4.38,12.96
A-S01,1,67,B,0.229,P4,TERMINATED,1,266,30,1,207,1,26.63,41.62
A-S01,1,68,C,0.229,P4,TERMINATED,1,261,8,1,324,0,21.17,5.97
A-S01,1,69,A,0.356,P3,TERMINATED,1,36,151,1,263,0,36.39,46.18
A-S01,1,70,A,0.391,P3,TERMINATED,1,168,47,1,345,0,19.93,35.03
A-S01,1,71,B,0.8,P1,ACTIVE,0,23,24,1,96,1,22.02,18.62
A-S01,1,72,B,0.649,P2,ACTIVE,0,224,34,1,68,1,25.56,21.04
A-S01,1,73,B,0.343,P3,ACTIVE,0,161,137,1,135,1,3.92,28.63
A-S01,1,74,C,0.84,P1,TERMINATED,1,26,95,1,280,1,29.57,27.55
A-S01,1,75,B,0.22,P4,TERMINATED,1,228,66,1,633,0,11.02,18.22
A-S01,1,76,B,0.28,P3,TERMINATED,1,454,50,1,482,1,1.86,8.99
A-S01,1,77,A,0.679,P2,TERMINATED,1,316,12,1,183,0,43.88,27.76
A-S01,1,78,C,0.193,P4,TERMINATED,1,574,80,1,262,1,8.39,38.3
A-S01,1,79,A,0.397,P3,ACTIVE,0,682,121,1,173,1,36.17,46
A-S01,1,80,B,0.786,P1,ACTIVE,0,675,21,1,257,1,11.43,44.74
A-S01,2,1,A,0.322,P3,ACTIVE,0,268,14,1,227,1,38.17,6.24
A-S01,2,2,C,0.517,P2,ACTIVE,0,388,141,1,259,1,3.39,26.48
A-S01,2,3,A,0.78,P1,ACTIVE,0,247,45,1,156,0,12.96,3.77
A-S01,2,4,C,0.427,P3,ACTIVE,0,212,102,1,73,1,12.82,3.11
A-S01,2,5,A,0.566,P2,ACTIVE,0,321,72,1,401,1,24.02,33.21
A-S01,2,6,B,0.497,P3,TERMINATED,1,92,10,1,24,0,19.81,17.99
A-S01,2,7,C,0.813,P1,ACTIVE,0,125,11,1,235,1,17.82,0.49
A-S01,2,8,B,0.904,P1,TERMINATED,1,84,64,1,390,0,19.7,33.75
A-S01,2,9,B,0.269,P3,ACTIVE,0,421,121,1,154,1,25.12,49.51
A-S01,2,10,B,0.817,P1,ACTIVE,0,71,5,1,249,1,31.01,0.18
A-S01,2,11,B,0.588,P2,ACTIVE,0,499,11,0,615,1,28.04,43.2
A-S01,2,12,B,0.685,P2,ACTIVE,0,51,111,1,590,1,9.72,41.33
A-S01,2,13,B,0.496,P3,ACTIVE,0,829,83,1,96,1,41.1,15.52
A-S01,2,14,A,0.1,P4,ACTIVE,0,452,11,1,314,1,26.04,35.6
A-S01,2,15,B,0.624,P2,ACTIVE,0,542,26,1,206,1,1.32,44.19
A-S01,2,16,B,0.277,P3,ACTIVE,0,100,63,1,164,0,2.61,40.13
A-S01,2,17,B,0.196,P4,ACTIVE,0,59,78,1,17,1,35.56,20.33
A-S01,2,18,A,0.782,P1,ACTIVE,0,370,75,1,138,1,46.35,24.64
A-S01,2,19,A,0.538,P2,ACTIVE,0,130,59,1,250,1,1.57,38.02
A-S01,2,20,B,0.106,P4,ACTIVE,0,386,62,1,95,1,45.85,41.69
A-S01,2,21,B,0.908,P1,TERMINATED,1,103,23,1,31,0,45.54,25.64
A-S01,2,22,B,0.155,P4,ACTIVE,0,142,77,0,58,1,39.9,42.08
A-S01,2,23,A,0.72,P2,TERMINATED,1,386,38,1,59,1,29.89,5.6
A-S01,2,24,B,0.906,P1,ACTIVE,0,234,34,1,277,1,42.39,40.19
A-S01,2,25,B,0.551,P2,ACTIVE,0,409,48,0,172,1,11.44,20.2
A-S01,2,26,A,0.621,P2,TERMINATED,1,42,89,1,163,1,27.3,39.3
A-S01,2,27,B,0.919,P1,ACTIVE,0,205,114,1,148,1,14.44,47.55
A-S01,2,28,C,0.521,P2,ACTIVE,0,312,151,1,87,1,31.35,12.51
A-S01,2,29,C,0.646,P2,ACTIVE,0,361,52,1,130,1,35.79,20.19
A-S01,2,30,A,0.452,P3,ACTIVE,0,182,5,0,30,1,10.56,48.32
A-S01,2,31,B,0.819,P1,ACTIVE,0,249,120,1,171,1,9.04,42.56
A-S01,2,32,C,0.834,P1,TERMINATED,1,939,145,0,190,0,35.61,41.16
A-S01,2,33,A,0.228,P4,ACTIVE,0,43,41,0,108,0,9.38,31.29
A-S01,2,34,C,0.7,P2,ACTIVE,0,139,48,1,264,1,0.85,28.01
A-S01,2,35,A,0.392,P3,ACTIVE,0,205,216,1,34,1,7.58,15.74
A-S01,2,36,B,0.573,P2,TERMINATED,1,672,9,1,37,1,46.24,33.79
A-S01,2,37,B,0.581,P2,TERMINATED,1,260,4,0,344,0,6,42.63
