scenario,replication,entity_id,group,severity,severity_category,status,event,event_time,time_to_first_service,received_service,time_to_stage2,reached_stage2,x,y
A-S08,1,1,B,0.587,P2,ACTIVE,0,173,58,1,277,1,3.2,44.21
A-S08,1,2,A,0.528,P2,ACTIVE,0,61,181,1,380,1,10.75,35.85
A-S08,1,3,B,0.429,P3,ACTIVE,0,709,123,1,666,1,16.87,38.33
A-S08,1,4,C,0.922,P1,ACTIVE,0,300,29,1,43,0,49.19,47.3
A-S08,1,5,C,0.264,P3,TERMINATED,1,211,75,1,247,1,11.08,40.21
A-S08,1,6,A,0.765,P1,ACTIVE,0,236,51,1,204,1,18.03,24.72
A-S08,1,7,B,0.637,P2,ACTIVE,0,205,33,1,40,1,14.58,16.73
A-S08,1,8,A,0.822,P1,ACTIVE,0,85,18,1,59,0,8.84,26.3
A-S08,1,9,A,0.124,P4,ACTIVE,0,149,54,1,368,1,0.07,13.83
A-S08,1,10,A,0.4,P3,ACTIVE,0,456,58,1,265,1,13.01,26.92
A-S08,1,11,A,0.917,P1,ACTIVE,0,370,21,1,214,1,34.84,24.68
A-S08,1,12,A,0.219,P4,ACTIVE,0,372,42,1,101,1,32.91,43.83
A-S08,1,13,B,0.288,P3,ACTIVE,0,379,59,1,208,1,5.08,42.67
A-S08,1,14,B,0.47,P3,ACTIVE,0,751,102,1,113,1,24.9,28.29
A-S08,1,15,B,0.299,P3,ACTIVE,0,297,80,1,204,1,23.07,39.74
A-S08,1,16,A,0.326,P3,ACTIVE,0,238,75,1,297,0,17.09,13.5
A-S08,1,17,A,0.591,P2,ACTIVE,0,227,93,1,92,1,6.08,0.47
A-S08,1,18,B,0.502,P2,ACTIVE,0,419,77,1,274,1,7.89,21.7
A-S08,1,19,B,0.622,P2,ACTIVE,0,311,76,1,22,1,20.3,0.4
A-S08,1,20,B,0.874,P1,TERMINATED,1,601,15,1,184,0,35.37,39.45
A-S08,1,21,A,0.404,P3,TERMINATED,1,337,124,1,296,1,37.07,10.73
A-S08,1,22,C,0.236,P4,ACTIVE,0,122,19,0,183,1,36.38,22.12
A-S08,1,23,C,0.721,P2,TERMINATED,1,160,154,0,410,1,18.03,24.77
A-S08,1,24,C,0.894,P1,ACTIVE,0,61,118,0,293,0,22.27,19.11
A-S08,1,25,C,0.68,P2,ACTIVE,0,136,127,1,60,1,9.14,5.85
A-S08,1,26,C,0.635,P2,TERMINATED,1,304,55,1,82,0,13.45,11.27
A-S08,1,27,B,0.868,P1,TERMINATED,1,826,75,1,659,0,27.51,25.06
A-S08,1,28,A,0.754,P1,ACTIVE,0,130,132,1,39,1,16.3,35.08
A-S08,1,29,C,0.552,P2,TERMINATED,1,79,11,1,242,0,33.01,46.47
A-S08,1,30,A,0.94,P1,ACTIVE,0,588,195,1,27,1,27.85,13.77
A-S08,1,31,A,0.434,P3,ACTIVE,0,833,110,0,42,1,35.1,34.65
A-S08,1,32,A,0.126,P4,ACTIVE,0,446,116,1,70,1,1.77,43.41
A-S08,1,33,B,0.827,P1,ACTIVE,0,288,35,1,475,1,8.94,11.23
A-S08,1,34,A,0.239,P4,ACTIVE,0,168,133,1,51,0,21.8,11.12
A-S08,1,35,B,0.245,P4,ACTIVE,0,106,135,0,142,1,26.86,47.99
A-S08,1,36,B,0.492,P3,ACTIVE,0,512,7,1,256,1,9.56,26.09
A-S08,1,37,C,0.129,P4,ACTIVE,0,92,2,1,134,1,23.75,44.97
A-S08,1,38,B,0.298,P3,ACTIVE,0,881,52,1,121,1,33.11,46.36
A-S08,1,39,B,0.525,P2,TERMINATED,1,300,115,1,22,0,14.03,26.24
