scenario,replication,time_step,time_unit,active_casualties,capacity_utilisation
M-S01,1,1,min,66,0.6635376677799241
M-S01,1,2,min,68,0.5511055950257925
M-S01,1,3,min,67,0.5939996626801173
M-S01,1,4,min,67,0.4149527579543604
M-S01,1,5,min,65,0.7299020011763349
M-S01,1,6,min,63,0.5689979428597265
M-S01,1,7,min,63,0.6654198419982218
M-S01,1,8,min,57,0.45818730059863405
M-S01,1,9,min,62,0.5164161133449428
M-S01,1,10,min,62,0.6651123310466425
M-S01,1,11,min,55,0.6209096434809084
M-S01,1,12,min,57,0.6273813518953765
M-S01,1,13,min,55,0.5787636424061391
M-S01,1,14,min,50,0.6215894854469356
M-S01,1,15,min,48,0.6399193891233068
M-S01,1,16,min,48,0.5781946718548805
M-S01,1,17,min,49,0.639221364196111
M-S01,1,18,min,44,0.6548362022945039
M-S01,1,19,min,40,0.4627105427229362
M-S01,1,20,min,40,0.6488870327206289
M-S01,1,21,min,36,0.6070302454254398
M-S01,1,22,min,35,0.6004484626950685
M-S01,1,23,min,35,0.5110961710552165
M-S01,1,24,min,30,0.6137923510724601
M-S01,1,25,min,30,0.46126624608337286
M-S01,1,26,min,30,0.5536832126540288
M-S01,1,27,min,30,0.6471342377514183
M-S01,1,28,min,23,0.411640175785273
M-S01,1,29,min,27,0.618338871234247
M-S01,1,30,min,20,0.6340378868904879
M-S01,1,31,min,18,0.7618721066931009
M-S01,1,32,min,15,0.6600277136562969
M-S01,1,33,min,17,0.7818160090173261
M-S01,1,34,min,16,0.5269398415707072
M-S01,1,35,min,15,0.7538014489858583
M-S01,1,36,min,13,0.7187704534132925
M-S01,1,37,min,13,0.6865869935448344
M-S01,1,38,min,9,0.8271417103903627
M-S01,1,39,min,10,0.6940397682126136
M-S01,1,40,min,7,0.7552528736552813
M-S01,1,41,min,9,0.8070225424291895
M-S01,1,42,min,8,0.6590341448480938
M-S01,1,43,min,6,0.5174547761468566
M-S01,1,44,min,7,0.7779373256617379
M-S01,1,45,min,7,0.708837115553131
M-S01,1,46,min,8,0.7686145007216175
M-S01,1,47,min,3,0.7024685484085067
M-S01,1,48,min,4,0.5594015265801905
M-S01,1,49,min,6,0.8141270199213863
M-S01,1,50,min,6,0.7013362542310478
M-S01,1,51,min,2,0.8060793781027877
M-S01,1,52,min,3,0.6763980019318776
M-S01,1,53,min,2,0.7235908223187901
M-S01,1,54,min,1,0.9731094784985882
M-S01,1,55,min,1,0.7012001137567994
M-S01,1,56,min,3,0.6461694615415661
M-S01,1,57,min,1,0.8075047062399687
M-S01,1,58,min,2,0.8409324327338049
M-S01,1,59,min,0,0.7583224153234562
M-S01,1,60,min,0,0.7453392646083301
M-S01,2,1,min,69,0.4081119085180858
M-S01,2,2,min,71,0.5559050759343975
M-S01,2,3,min,72,0.3601464139393555
M-S01,2,4,min,68,0.631647426770266
M-S01,2,5,min,67,0.3227362000866265
M-S01,2,6,min,63,0.3967061530157745
M-S01,2,7,min,66,0.5947126798061195
M-S01,2,8,min,58,0.6937693925785705
M-S01,2,9,min,63,0.6743029116368154
M-S01,2,10,min,56,0.3911844408452584
M-S01,2,11,min,57,0.6229604890310465
M-S01,2,12,min,56,0.4735098166322198
M-S01,2,13,min,55,0.5558620476968967
M-S01,2,14,min,53,0.5967667021163107
M-S01,2,15,min,48,0.4631976174350084
M-S01,2,16,min,46,0.5039640185990412
M-S01,2,17,min,44,0.49905928771541125
M-S01,2,18,min,43,0.39685294141583216
M-S01,2,19,min,41,0.541758036705583
M-S01,2,20,min,39,0.5145004247870206
M-S01,2,21,min,38,0.7307268929460812
M-S01,2,22,min,38,0.604082786231842
M-S01,2,23,min,35,0.5618373619286204
M-S01,2,24,min,31,0.6889839894515867
M-S01,2,25,min,30,0.6621914798147339
M-S01,2,26,min,29,0.8250211516092925
M-S01,2,27,min,25,0.670714844422214
M-S01,2,28,min,25,0.5778152440626796
M-S01,2,29,min,24,0.600303116672564
M-S01,2,30,min,24,0.5133644163942728
M-S01,2,31,min,24,0.7304877094071074
M-S01,2,32,min,17,0.7408874689914183
M-S01,2,33,min,21,0.7171133048655921
M-S01,2,34,min,12,0.8271155847460665
M-S01,2,35,min,15,0.5389142250335699
M-S01,2,36,min,16,0.47229877122173325
M-S01,2,37,min,13,0.7130203532959063
M-S01,2,38,min,9,0.600695946556195
M-S01,2,39,min,10,0.5971662905878252
M-S01,2,40,min,8,0.5926262406592502
M-S01,2,41,min,7,0.7401044934221902
M-S01,2,42,min,10,0.8097891221772306
M-S01,2,43,min,10,0.7475353971785683
M-S01,2,44,min,6,0.7244256386756771
M-S01,2,45,min,7,0.8978301265643986
M-S01,2,46,min,4,0.8425236282980256
M-S01,2,47,min,5,0.7687382022691384
M-S01,2,48,min,2,0.8498572910033892
M-S01,2,49,min,2,0.6596012317733841
M-S01,2,50,min,3,0.6909488631499427
M-S01,2,51,min,7,0.7985557341334835
M-S01,2,52,min,3,0.7060111162415086
M-S01,2,53,min,4,0.9055776111300564
M-S01,2,54,min,2,0.6808346362391506
M-S01,2,55,min,3,0.8113630992944666
M-S01,2,56,min,2,0.8711114646653552
M-S01,2,57,min,0,0.9110443028266372
M-S01,2,58,min,3,0.7769992286690304
M-S01,2,59,min,0,0.99342241064955
M-S01,2,60,min,2,0.8813827109601187
M-S01,3,1,min,74,0.482797003731209
M-S01,3,2,min,66,0.6206362752596819
M-S01,3,3,min,71,0.5935657325337159
M-S01,3,4,min,67,0.4529129267928655
M-S01,3,5,min,63,0.5766471115366198
M-S01,3,6,min,64,0.5503281826364995
M-S01,3,7,min,62,0.5914430887886835
M-S01,3,8,min,57,0.5264747673542681
M-S01,3,9,min,60,0.81816133634974475
M-S01,3,10,min,57,0.7082084301202136
M-S01,3,11,min,58,0.5126103598520071
M-S01,3,12,min,58,0.412568331136019
M-S01,3,13,min,52,0.5006186426788743
M-S01,3,14,min,53,0.7341362303354405
M-S01,3,15,min,48,0.5349414285986154
M-S01,3,16,min,47,0.5703000477190702
M-S01,3,17,min,47,0.5396680843083909
M-S01,3,18,min,42,0.5625569649188834
M-S01,3,19,min,41,0.555077470343122
M-S01,3,20,min,39,0.5404408566732182
M-S01,3,21,min,37,0.8455416597595622
M-S01,3,22,min,38,0.7264812688602855
M-S01,3,23,min,35,0.7104529444474733
M-S01,3,24,min,32,0.5825407583180414
M-S01,3,25,min,33,0.7182085989041889
M-S01,3,26,min,30,0.6872350913914966
M-S01,3,27,min,30,0.6353231430991363
M-S01,3,28,min,24,0.6270090113976728
M-S01,3,29,min,25,0.6236495271976797
M-S01,3,30,min,24,0.5998530255852581
M-S01,3,31,min,21,0.48467554169884886
M-S01,3,32,min,20,0.8782326381687133
M-S01,3,33,min,18,0.7770689037804122
M-S01,3,34,min,13,0.6286793686661069
M-S01,3,35,min,15,0.7362841394296746
M-S01,3,36,min,12,0.7292938800011473
M-S01,3,37,min,11,0.9048805773975037
M-S01,3,38,min,12,0.8543974985124475
M-S01,3,39,min,8,0.7813463313806303
M-S01,3,40,min,10,0.5682260423977662
M-S01,3,41,min,9,0.8333231580668585
M-S01,3,42,min,7,0.654426630284449
M-S01,3,43,min,4,0.7426673905712415
M-S01,3,44,min,7,0.7110286617272097
M-S01,3,45,min,8,0.7326658149860303
M-S01,3,46,min,6,0.8599016384668183
M-S01,3,47,min,2,0.7618578102785559
M-S01,3,48,min,6,0.7835086669546172
M-S01,3,49,min,6,0.7969999460527818
M-S01,3,50,min,2,0.7130844717051468
M-S01,3,51,min,5,0.5924258205476018
M-S01,3,52,min,1,0.66576796778838
M-S01,3,53,min,1,0.6732757389066233
M-S01,3,54,min,4,0.6757790050192931
M-S01,3,55,min,5,0.9993540168317203
M-S01,3,56,min,4,0.6113944510069746
M-S01,3,57,min,2,0.7598604248060795
M-S01,3,58,min,1,0.6221467999455608
M-S01,3,59,min,1,0.856471604405845
M-S01,3,60,min,3,0.811725606054458
M-S01,4,1,min,71,0.4086644020649391
M-S01,4,2,min,66,0.4055329437226362
M-S01,4,3,min,67,0.3203347127538021
M-S01,4,4,min,66,0.3957600871192855
M-S01,4,5,min,63,0.5186143940555596
M-S01,4,6,min,62,0.7292397515530654
M-S01,4,7,min,62,0.553079632267579
M-S01,4,8,min,61,0.5531106468913973
M-S01,4,9,min,59,0.47302081394790707
M-S01,4,10,min,57,0.6223832258524429
M-S01,4,11,min,57,0.5180333471920378
M-S01,4,12,min,54,0.578044269829436
M-S01,4,13,min,54,0.5278027939585253
M-S01,4,14,min,54,0.5196928282282572
M-S01,4,15,min,51,0.6679528196727449
M-S01,4,16,min,49,0.6820338824147478
M-S01,4,17,min,45,0.6585630275261836
M-S01,4,18,min,45,0.711468895875582
M-S01,4,19,min,38,0.7406695074438111
M-S01,4,20,min,40,0.710317015716649
M-S01,4,21,min,43,0.709500195699531
M-S01,4,22,min,36,0.79951006593954
M-S01,4,23,min,37,0.574491418420614
M-S01,4,24,min,34,0.5000270740227328
M-S01,4,25,min,29,0.6049043127789295
M-S01,4,26,min,29,0.7432551670755195
M-S01,4,27,min,27,0.716856400488463
M-S01,4,28,min,26,0.6420020220318511
M-S01,4,29,min,23,0.632592733584406
M-S01,4,30,min,20,0.7961435240036544
