scenario,replication,time_step,time_unit,active_casualties,capacity_utilisation
M-S07,1,1,min,67,0.4460034860457517
M-S07,1,2,min,70,0.4905282851513244
M-S07,1,3,min,65,0.4490359764467778
M-S07,1,4,min,66,0.5135949931288868
M-S07,1,5,min,65,0.44156982002163836
M-S07,1,6,min,66,0.389048728468226
M-S07,1,7,min,66,0.5530272991191179
M-S07,1,8,min,61,0.5087562139456078
M-S07,1,9,min,60,0.4678629518223314
M-S07,1,10,min,61,0.5859684878760788
M-S07,1,11,min,56,0.5190204426397106
M-S07,1,12,min,55,0.6550733509717939
M-S07,1,13,min,54,0.4557105038071281
M-S07,1,14,min,51,0.6264453097204755
M-S07,1,15,min,48,0.6219163096570887
M-S07,1,16,min,49,0.48078402757762817
M-S07,1,17,min,46,0.4693400895833271
M-S07,1,18,min,44,0.6941588025493927
M-S07,1,19,min,43,0.7167343555882828
M-S07,1,20,min,39,0.6538033894614557
M-S07,1,21,min,37,0.6065995888375236
M-S07,1,22,min,36,0.5310627331468062
M-S07,1,23,min,38,0.5057578697753831
M-S07,1,24,min,33,0.7987367868052622
M-S07,1,25,min,28,0.8266180233493201
M-S07,1,26,min,24,0.6634536399504548
M-S07,1,27,min,29,0.5351197812032426
M-S07,1,28,min,22,0.6056959432376514
M-S07,1,29,min,23,0.5627852485124925
M-S07,1,30,min,22,0.4095140975050068
M-S07,1,31,min,20,0.7650224440956328
M-S07,1,32,min,18,0.67549099819996306
M-S07,1,33,min,21,0.7059264426922599
M-S07,1,34,min,17,0.8917592277021709
M-S07,1,35,min,13,0.6156300881529885
M-S07,1,36,min,10,0.7849060410590977
M-S07,1,37,min,13,0.8316499777236968
M-S07,1,38,min,11,0.6304698419262974
M-S07,1,39,min,12,0.9086092812837455
M-S07,1,40,min,14,0.7947588662548819
M-S07,1,41,min,9,0.590389944369554
M-S07,1,42,min,5,0.7671583149362422
M-S07,1,43,min,6,0.7485642589213695
M-S07,1,44,min,7,0.5589533973802372
M-S07,1,45,min,6,0.6600993963526196
M-S07,1,46,min,6,0.7377410425507308
M-S07,1,47,min,5,0.8312169598930823
M-S07,1,48,min,5,0.9269821958178641
M-S07,1,49,min,6,0.8351202544187081
M-S07,1,50,min,4,0.6784972033023354
M-S07,1,51,min,3,0.8469843922683231
M-S07,1,52,min,1,0.6785851240629353
M-S07,1,53,min,3,0.6937469566718983
M-S07,1,54,min,5,0.6522470660593261
M-S07,1,55,min,3,0.8865017027590746
M-S07,1,56,min,6,0.7639976428710348
M-S07,1,57,min,2,0.8528838134109856
M-S07,1,58,min,2,0.8146639237529111
M-S07,1,59,min,3,0.8075696029315047
M-S07,1,60,min,3,0.7745726781143819
M-S07,2,1,min,70,0.40497183047437874
M-S07,2,2,min,69,0.5656532971381676
M-S07,2,3,min,70,0.5976735226247432
M-S07,2,4,min,69,0.5915178834119698
M-S07,2,5,min,65,0.5506500000894263
M-S07,2,6,min,64,0.46045520104361926
M-S07,2,7,min,65,0.4042103782646263
M-S07,2,8,min,64,0.44982493886500496
M-S07,2,9,min,59,0.6164418980303127
M-S07,2,10,min,61,0.5389416411237244
M-S07,2,11,min,54,0.5043274485104748
M-S07,2,12,min,60,0.704254475078954
M-S07,2,13,min,53,0.491391714155619
M-S07,2,14,min,51,0.7649529100582513
M-S07,2,15,min,51,0.5313118244393951
M-S07,2,16,min,50,0.534594687449864
M-S07,2,17,min,50,0.5539731699738742
M-S07,2,18,min,40,0.5685705876149526
M-S07,2,19,min,41,0.632834124477117
M-S07,2,20,min,42,0.5797156780535093
M-S07,2,21,min,36,0.5269278515611733
M-S07,2,22,min,36,0.3588708711883995
M-S07,2,23,min,33,0.6694520051196815
M-S07,2,24,min,33,0.5219233378681936
M-S07,2,25,min,31,0.7424788273756864
M-S07,2,26,min,25,0.7408592640645002
M-S07,2,27,min,25,0.6566295344903637
M-S07,2,28,min,26,0.6036340103659323
M-S07,2,29,min,21,0.5604226975745972
M-S07,2,30,min,23,0.6696062147694741
M-S07,2,31,min,19,0.6815658275924752
M-S07,2,32,min,17,0.9480191629663746
M-S07,2,33,min,16,0.6570527706243503
M-S07,2,34,min,15,0.7970022550972854
M-S07,2,35,min,16,0.5427497868676248
M-S07,2,36,min,14,0.740141495459429
M-S07,2,37,min,15,0.641690032022369
M-S07,2,38,min,9,0.5752705139107765
M-S07,2,39,min,9,0.6509009308159336
M-S07,2,40,min,9,0.7094785240503133
M-S07,2,41,min,7,0.9339082083846701
M-S07,2,42,min,8,0.686287979982972
M-S07,2,43,min,5,0.6829666340843441
M-S07,2,44,min,8,0.9967735618582823
M-S07,2,45,min,4,0.6925806818647275
M-S07,2,46,min,3,0.9143692086412846
M-S07,2,47,min,6,0.5679632918396318
M-S07,2,48,min,4,0.8437917938281534
M-S07,2,49,min,4,0.6948891485630242
M-S07,2,50,min,3,0.8214263042386043
M-S07,2,51,min,3,0.8204141628293993
M-S07,2,52,min,5,0.7284380423254018
M-S07,2,53,min,4,0.7122714300243281
M-S07,2,54,min,1,0.7536994489686188
M-S07,2,55,min,4,0.9072200834601576
M-S07,2,56,min,5,0.8612117974754815
M-S07,2,57,min,1,0.7738939057912255
M-S07,2,58,min,0,0.7141969552088839
M-S07,2,59,min,2,0.7485898447852157
M-S07,2,60,min,3,0.8175601807735268
M-S07,3,1,min,68,0.4978679617490362
M-S07,3,2,min,68,0.4333634592892799
M-S07,3,3,min,67,0.46300604927078076
M-S07,3,4,min,65,0.4097591512939233
M-S07,3,5,min,67,0.4537443758361569
M-S07,3,6,min,65,0.5629803844282292
M-S07,3,7,min,67,0.49486444119252915
M-S07,3,8,min,63,0.6251664691883718
M-S07,3,9,min,62,0.5698083229051183
M-S07,3,10,min,59,0.4379212596657473
M-S07,3,11,min,57,0.4972639495101668
M-S07,3,12,min,54,0.6834822102452808
