scenario,replication,time_step,time_unit,active_entities,capacity_utilisation
A-S07,1,1,step,67,0.4460034860457517
A-S07,1,2,step,70,0.4905282851513244
A-S07,1,3,step,65,0.4490359764467778
A-S07,1,4,step,66,0.5135949931288868
A-S07,1,5,step,65,0.44156982002163836
A-S07,1,6,step,66,0.389048728468226
A-S07,1,7,step,66,0.5530272991191179
A-S07,1,8,step,61,0.5087562139456078
A-S07,1,9,step,60,0.4678629518223314
A-S07,1,10,step,61,0.5859684878760788
A-S07,1,11,step,56,0.5190204426397106
A-S07,1,12,step,55,0.6550733509717939
A-S07,1,13,step,54,0.4557105038071281
A-S07,1,14,step,51,0.6264453097204755
A-S07,1,15,step,48,0.6219163096570887
A-S07,1,16,step,49,0.48078402757762817
A-S07,1,17,step,46,0.4693400895833271
A-S07,1,18,step,44,0.6941588025493927
A-S07,1,19,step,43,0.7167343555882828
A-S07,1,20,step,39,0.6538033894614557
A-S07,1,21,step,37,0.6065995888375236
A-S07,1,22,step,36,0.5310627331468062
A-S07,1,23,step,38,0.5057578697753831
A-S07,1,24,step,33,0.7987367868052622
A-S07,1,25,step,28,0.8266180233493201
A-S07,1,26,step,24,0.6634536399504548
A-S07,1,27,step,29,0.5351197812032426
A-S07,1,28,step,22,0.6056959432376514
A-S07,1,29,step,23,0.5627852485124925
A-S07,1,30,step,22,0.4095140975050068
A-S07,1,31,step,20,0.7650224440956328
A-S07,1,32,step,18,0.67549099819996306
A-S07,1,33,step,21,0.7059264426922599
A-S07,1,34,step,17,0.8917592277021709
A-S07,1,35,step,13,0.6156300881529885
A-S07,1,36,step,10,0.7849060410590977
A-S07,1,37,step,13,0.8316499777236968
A-S07,1,38,step,11,0.6304698419262974
A-S07,1,39,step,12,0.9086092812837455
A-S07,1,40,step,14,0.7947588662548819
A-S07,1,41,step,9,0.590389944369554
A-S07,1,42,step,5,0.7671583149362422
A-S07,1,43,step,6,0.7485642589213695
A-S07,1,44,step,7,0.5589533973802372
A-S07,1,45,step,6,0.6600993963526196
A-S07,1,46,step,6,0.7377410425507308
A-S07,1,47,step,5,0.8312169598930823
A-S07,1,48,step,5,0.9269821958178641
A-S07,1,49,step,6,0.8351202544187081
A-S07,1,50,step,4,0.6784972033023354
A-S07,1,51,step,3,0.8469843922683231
A-S07,1,52,step,1,0.6785851240629353
A-S07,1,53,step,3,0.6937469566718983
A-S07,1,54,step,5,0.6522470660593261
A-S07,1,55,step,3,0.8865017027590746
A-S07,1,56,step,6,0.7639976428710348
A-S07,1,57,step,2,0.8528838134109856
A-S07,1,58,step,2,0.8146639237529111
A-S07,1,59,step,3,0.8075696029315047
A-S07,1,60,step,3,0.7745726781143819
A-S07,2,1,step,70,0.40497183047437874
A-S07,2,2,step,69,0.5656532971381676
A-S07,2,3,step,70,0.5976735226247432
A-S07,2,4,step,69,0.5915178834119698
A-S07,2,5,step,65,0.5506500000894263
A-S07,2,6,step,64,0.46045520104361926
A-S07,2,7,step,65,0.4042103782646263
A-S07,2,8,step,64,0.44982493886500496
A-S07,2,9,step,59,0.6164418980303127
A-S07,2,10,step,61,0.5389416411237244
A-S07,2,11,step,54,0.5043274485104748
A-S07,2,12,step,60,0.704254475078954
A-S07,2,13,step,53,0.491391714155619
A-S07,2,14,step,51,0.7649529100582513
A-S07,2,15,step,51,0.5313118244393951
A-S07,2,16,step,50,0.534594687449864
A-S07,2,17,step,50,0.5539731699738742
A-S07,2,18,step,40,0.5685705876149526
A-S07,2,19,step,41,0.632834124477117
A-S07,2,20,step,42,0.5797156780535093
A-S07,2,21,step,36,0.5269278515611733
A-S07,2,22,step,36,0.3588708711883995
A-S07,2,23,step,33,0.6694520051196815
A-S07,2,24,step,33,0.5219233378681936
A-S07,2,25,step,31,0.7424788273756864
A-S07,2,26,step,25,0.7408592640645002
A-S07,2,27,step,25,0.6566295344903637
A-S07,2,28,step,26,0.6036340103659323
A-S07,2,29,step,21,0.5604226975745972
A-S07,2,30,step,23,0.6696062147694741
A-S07,2,31,step,19,0.6815658275924752
A-S07,2,32,step,17,0.9480191629663746
A-S07,2,33,step,16,0.6570527706243503
A-S07,2,34,step,15,0.7970022550972854
