scenario,replication,entity_id,group,severity,severity_category,status,event,event_time,time_to_first_service,received_service,time_to_stage2,reached_stage2,x,y
A-S00,1,1,B,0.298,P3,ACTIVE,0,67,32,1,243,0,10.64,11.03
A-S00,1,2,C,0.231,P4,ACTIVE,0,522,83,1,137,1,47.27,21.61
A-S00,1,3,A,0.642,P2,ACTIVE,0,172,17,1,225,1,40.89,17.66
A-S00,1,4,C,0.754,P1,ACTIVE,0,777,60,0,211,0,10.18,28.59
A-S00,1,5,B,0.442,P3,ACTIVE,0,21,101,0,69,1,29.11,27.19
A-S00,1,6,A,0.808,P1,TERMINATED,1,130,109,1,204,0,23.81,2.9
A-S00,1,7,B,0.47,P3,TERMINATED,1,377,6,1,9,1,35.4,41.73
A-S00,1,8,A,0.309,P3,ACTIVE,0,135,60,0,127,1,11.45,18.83
A-S00,1,9,B,0.787,P1,TERMINATED,1,292,103,1,145,1,20.61,31.97
A-S00,1,10,A,0.348,P3,TERMINATED,1,115,38,1,247,1,36.11,24.71
A-S00,1,11,A,0.719,P2,ACTIVE,0,35,178,1,55,1,12.38,10.25
A-S00,1,12,B,0.139,P4,TERMINATED,1,171,66,1,91,1,23.91,24.57
A-S00,1,13,B,0.8,P1,ACTIVE,0,608,65,1,591,1,46.39,21.91
A-S00,1,14,A,0.193,P4,ACTIVE,0,192,33,1,18,1,30.45,30.74
A-S00,1,15,A,0.675,P2,ACTIVE,0,698,48,1,139,1,9.71,3.15
A-S00,1,16,A,0.132,P4,TERMINATED,1,394,137,1,287,1,49.61,6.01
A-S00,1,17,B,0.28,P3,ACTIVE,0,101,100,1,489,0,10.59,20.99
A-S00,1,18,C,0.41,P3,TERMINATED,1,84,12,1,125,1,29.85,20.66
A-S00,1,19,B,0.363,P3,TERMINATED,1,320,124,0,479,1,12.33,4.74
A-S00,1,20,A,0.87,P1,ACTIVE,0,257,81,1,125,0,23.79,41.39
A-S00,1,21,C,0.196,P4,ACTIVE,0,514,99,1,29,1,48.29,4.11
A-S00,1,22,B,0.37,P3,ACTIVE,0,220,36,1,234,1,2.89,24.96
A-S00,1,23,B,0.722,P2,TERMINATED,1,494,17,0,75,0,22.91,41.6
A-S00,1,24,B,0.79,P1,TERMINATED,1,490,62,1,86,0,7.68,15.81
A-S00,1,25,B,0.876,P1,ACTIVE,0,82,225,1,86,0,43.34,21.47
A-S00,1,26,A,0.435,P3,ACTIVE,0,459,50,0,600,1,28.35,7.29
A-S00,1,27,C,0.145,P4,ACTIVE,0,409,224,1,232,1,7.6,25.07
A-S00,1,28,C,0.429,P3,TERMINATED,1,151,20,0,182,0,35.74,39.66
A-S00,1,29,B,0.552,P2,TERMINATED,1,224,147,1,380,1,16.79,34.78
A-S00,1,30,B,0.608,P2,ACTIVE,0,324,108,0,235,1,28.95,36.87
A-S00,1,31,B,0.691,P2,TERMINATED,1,442,18,1,100,0,21.84,16.21
A-S00,1,32,B,0.129,P4,ACTIVE,0,78,84,0,248,1,30.45,11.43
A-S00,1,33,B,0.451,P3,TERMINATED,1,131,23,1,347,0,37.24,20.82
A-S00,1,34,B,0.725,P2,TERMINATED,1,72,87,0,636,0,34.64,30.05
A-S00,1,35,B,0.274,P3,TERMINATED,1,401,111,0,5,0,19.04,14.17
A-S00,1,36,B,0.151,P4,ACTIVE,0,739,135,1,225,0,4.64,19.92
A-S00,1,37,A,0.232,P4,ACTIVE,0,129,56,0,141,1,37.85,18.1
A-S00,1,38,A,0.175,P4,ACTIVE,0,523,29,0,84,1,8.35,1.76
A-S00,1,39,C,0.865,P1,ACTIVE,0,363,31,1,112,1,27.24,7.35
A-S00,1,40,C,0.52,P2,ACTIVE,0,1623,175,1,195,1,19.89,46.01
A-S00,1,41,A,0.454,P3,TERMINATED,1,13,36,1,449,1,28.58,39.24
A-S00,1,42,C,0.628,P2,TERMINATED,1,4,40,1,154,1,20.87,13.64
A-S00,1,43,A,0.85,P1,TERMINATED,1,137,35,1,91,0,49.15,36.61
A-S00,1,44,B,0.662,P2,ACTIVE,0,245,123,1,117,1,31.83,15.58
A-S00,1,45,B,0.319,P3,ACTIVE,0,930,48,1,43,1,12.46,10.8
A-S00,1,46,A,0.24,P4,ACTIVE,0,240,123,1,251,1,35.75,10.35
A-S00,1,47,A,0.866,P1,TERMINATED,1,33,43,1,113,1,41.76,48.13
A-S00,1,48,A,0.14,P4,ACTIVE,0,392,56,0,354,1,38.03,15.64
A-S00,1,49,B,0.699,P2,ACTIVE,0,232,160,0,144,0,43.19,20.07
A-S00,1,50,B,0.741,P2,TERMINATED,1,388,8,1,32,0,40.95,48.36
A-S00,1,51,C,0.534,P2,ACTIVE,0,168,3,1,23,1,47.61,19.08
A-S00,1,52,B,0.539,P2,TERMINATED,1,552,17,1,204,1,18.66,21.25
A-S00,1,53,A,0.846,P1,ACTIVE,0,32,68,1,73,1,31.35,3.34
A-S00,1,54,B,0.34,P3,TERMINATED,1,97,123,1,300,0,10.09,44.54
A-S00,1,55,A,0.403,P3,ACTIVE,0,136,36,0,80,1,29.95,25.68
A-S00,1,56,B,0.433,P3,ACTIVE,0,34,50,1,398,1,6.29,29.37
A-S00,1,57,C,0.404,P3,ACTIVE,0,3,153,0,48,1,28.05,9.06
A-S00,1,58,A,0.156,P4,ACTIVE,0,243,56,0,27,1,36.96,12.38
A-S00,1,59,A,0.523,P2,TERMINATED,1,356,79,1,109,1,38.14,31.87
A-S00,1,60,B,0.932,P1,ACTIVE,0,209,161,0,438,1,12.5,38.57
A-S00,1,61,A,0.491,P3,TERMINATED,1,145,27,1,1,1,36.46,28.87
A-S00,1,62,B,0.897,P1,ACTIVE,0,120,100,1,223,1,14.34,0.08
A-S00,1,63,B,0.475,P3,TERMINATED,1,125,51,0,108,0,19.45,40.25
A-S00,1,64,C,0.624,P2,ACTIVE,0,42,88,0,54,1,42.88,45.61
A-S00,1,65,B,0.463,P3,ACTIVE,0,82,46,1,47,1,40.61,12.51
A-S00,1,66,B,0.695,P2,ACTIVE,0,291,11,0,41,1,49.04,10.67
A-S00,1,67,A,0.266,P3,TERMINATED,1,78,148,0,58,1,36.19,2.41
A-S00,1,68,B,0.248,P4,ACTIVE,0,77,92,1,142,0,33.95,7.04
A-S00,1,69,A,0.806,P1,ACTIVE,0,114,36,1,73,0,37.9,32.59
A-S00,1,70,A,0.629,P2,ACTIVE,0,105,18,1,19,1,15.9,20.49
A-S00,1,71,B,0.271,P3,ACTIVE,0,623,88,1,48,1,49.88,33.53
A-S00,1,72,A,0.832,P1,TERMINATED,1,57,113,1,190,1,34.4,17.09
A-S00,1,73,A,0.29,P3,TERMINATED,1,322,180,0,108,1,30.46,45.02
A-S00,1,74,A,0.543,P2,ACTIVE,0,84,10,1,148,1,28.45,22.24
A-S00,1,75,B,0.264,P3,ACTIVE,0,199,31,1,540,1,15.19,21.76
A-S00,1,76,A,0.646,P2,ACTIVE,0,202,126,1,392,1,33.12,45.27
A-S00,1,77,C,0.909,P1,ACTIVE,0,346,57,1,281,1,33.18,34.57
A-S00,1,78,A,0.618,P2,TERMINATED,1,705,99,1,46,0,5.35,8.73
