scenario,replication,event_rate,compliance_index,median_time_to_first_service,median_time_to_stage2
A-S07,1,0.3219833402714498,0.6608145364507337,11,139
A-S07,2,0.3000882637363756,0.7009111906338313,92,70
A-S07,3,0.2571995843009289,0.6847745373314951,83,91
A-S07,4,0.32626918114123465,0.7201090954447498,38,339
A-S07,5,0.3482570342218719,0.6577852575393136,45,156
A-S07,6,0.29144361852345946,0.6800375112047489,24,299
A-S07,7,0.2592022148884629,0.6575459910654414,30,43
A-S07,8,0.2749048460972417,0.6490106347226535,15,191
A-S07,9,0.22247342555078728,0.6893292155357749,86,136
A-S07,10,0.3088578629535598,0.6132199620065699,41,138
A-S07,11,0.23197776291280364,0.6983026470204932,22,217
A-S07,12,0.25714703984093945,0.612471924381297,94,303
A-S07,13,0.2921706432841212,0.5966420496006216,84,91
A-S07,14,0.3231094825296977,0.6462629359135764,61,97
A-S07,15,0.27840337008226174,0.5800767320536087,124,194
A-S07,16,0.3279113081747535,0.6392070561578441,43,158
A-S07,17,0.3294281047194821,0.6473003362094012,48,128
A-S07,18,0.283321587800505,0.6493443563921338,53,122
A-S07,19,0.3531438613205944,0.6790055261255687,64,294
A-S07,20,0.2482609456773896,0.7027264653493452,54,148
A-S07,21,0.2519212568774223,0.6669610171771394,25,162
A-S07,22,0.30920485364934314,0.6621868769804815,43,403
A-S07,23,0.3802883093441094,0.6524978775953049,110,173
A-S07,24,0.29305515030849233,0.6684486193210819,46,140
A-S07,25,0.26574549575751066,0.6798786365987379,37,155
A-S07,26,0.28626067615425493,0.6374467237675516,57,157
A-S07,27,0.28318016072133295,0.6883182765453272,82,108
A-S07,28,0.31371695740880484,0.657719470633899,54,280
A-S07,29,0.2803288432439315,0.5793964722868142,18,275
A-S07,30,0.27148602222466417,0.6304791035031729,71,144
A-S07,31,0.31338763287044086,0.7046594541214904,63,60
A-S07,32,0.3290709126795202,0.7060695826405824,82,188
A-S07,33,0.3091071967995495,0.6100177401507552,26,49
A-S07,34,0.2641143398100893,0.6066944935259545,88,235
A-S07,35,0.3032130402221438,0.6489377952481641,114,108
A-S07,36,0.3173355378022591,0.6389597394998318,97,105
A-S07,37,0.34316797888965517,0.6632873330731976,35,206
A-S07,38,0.30255366513996707,0.683833201413728,38,90
A-S07,39,0.2798621111203928,0.7040679728591007,36,136
A-S07,40,0.2579338487841689,0.5978307555486707,67,153
A-S07,41,0.23803682968261305,0.5883867708900071,91,192
A-S07,42,0.30550104197777006,0.65339627195152294,54,195
A-S07,43,0.3246587998739906,0.6526626555771092,49,290
A-S07,44,0.28286689571142554,0.6728706124046041,58,198
A-S07,45,0.31073051158808385,0.5680925180142018,40,86
A-S07,46,0.3290093002466,0.6990748256300806,65,148
A-S07,47,0.3102852974935514,0.6300868438611992,47,80
A-S07,48,0.3269300709102419,0.6714748976129958,43,50
A-S07,49,0.2691815194243571,0.7094221754886552,81,121
A-S07,50,0.24167127019252493,0.7158962884761827,49,44
